hour,is_weekend,weather,road_type,avg_speed,cars,motorcycles,buses,trucks,total_vehicles
3,1,Clear,Highway,76,7,1,1,1,6
8,0,Clear,Highway,25,53,17,4,4,86
9,0,Clear,Suburban,44,52,19,7,5,66
1,0,Fog,Urban,77,3,2,0,1,5
15,1,Clear,Urban,66,16,12,3,2,15
12,1,Fog,Suburban,79,22,13,4,2,18
14,0,Clear,Urban,88,16,11,1,4,23
0,0,Clear,Urban,64,10,3,1,1,13
12,0,Clear,Suburban,66,24,6,3,3,26
21,0,Fog,Suburban,67,15,12,4,2,24
12,0,Clear,Highway,71,22,10,3,3,31
23,0,Clear,Suburban,75,20,12,2,3,31
14,1,Rain,Suburban,84,16,10,4,4,18
19,1,Clear,Urban,52,44,13,4,5,60
4,1,Rain,Urban,82,7,1,1,1,4
8,0,Clear,Suburban,48,44,11,6,4,53
3,1,Rain,Urban,85,5,1,1,1,4
23,0,Clear,Highway,62,14,10,1,4,29
0,1,Clear,Highway,83,4,2,1,2,4
4,0,Fog,Suburban,61,8,1,1,1,5
12,0,Rain,Urban,67,13,8,4,2,32
10,0,Clear,Suburban,69,12,11,4,4,21
19,0,Rain,Urban,37,30,10,6,5,79
11,0,Clear,Highway,82,26,8,1,4,34
7,0,Clear,Highway,59,42,17,6,2,57
10,1,Rain,Urban,80,20,13,4,2,17
13,1,Clear,Highway,67,14,14,1,4,23
12,0,Clear,Urban,62,21,8,1,2,30
9,0,Rain,Highway,22,47,24,3,2,74
20,1,Clear,Urban,84,12,13,4,4,21
21,0,Fog,Suburban,62,16,13,1,2,15
7,0,Rain,Urban,45,30,15,3,4,42
17,0,Clear,Highway,39,49,18,4,6,73
3,0,Clear,Highway,81,6,2,1,2,13
16,0,Clear,Suburban,64,16,13,2,3,28
20,0,Clear,Urban,77,22,14,1,2,36
0,1,Clear,Urban,60,2,4,1,1,12
5,0,Clear,Suburban,87,7,4,1,1,7
23,0,Clear,Highway,56,12,10,1,4,47
11,0,Rain,Highway,89,15,13,4,2,24
22,0,Clear,Highway,77,15,7,2,2,20
17,0,Clear,Urban,41,35,14,3,4,51
14,0,Clear,Highway,74,27,13,3,2,20
14,0,Clear,Urban,87,23,8,3,4,29
5,0,Clear,Urban,88,4,4,1,2,18
11,0,Fog,Highway,79,21,11,4,4,28
23,0,Fog,Suburban,62,20,10,3,3,13
14,0,Clear,Suburban,45,29,8,3,4,47
5,0,Clear,Highway,63,10,1,0,1,17
14,1,Clear,Urban,61,12,8,4,2,34
1,0,Fog,Highway,83,7,3,1,2,10
11,0,Clear,Urban,79,29,9,4,2,33
20,1,Clear,Suburban,73,18,9,3,2,17
12,1,Clear,Urban,70,14,8,1,3,23
21,1,Clear,Highway,80,22,12,4,2,32
5,0,Clear,Suburban,80,7,4,1,1,7
9,1,Clear,Urban,46,32,11,6,2,63
6,0,Clear,Urban,76,21,12,4,3,30
10,0,Clear,Suburban,76,16,7,3,4,40
4,0,Rain,Urban,82,6,3,0,2,10
4,0,Clear,Suburban,87,3,3,0,2,5
2,1,Clear,Suburban,88,2,3,1,1,10
8,0,Clear,Highway,56,34,12,7,5,58
10,0,Clear,Urban,83,25,8,1,3,34
7,0,Clear,Highway,24,42,12,3,2,82
9,1,Clear,Suburban,52,34,19,4,5,68
14,0,Clear,Suburban,72,17,8,1,2,38
0,0,Clear,Urban,70,5,4,1,1,14
17,0,Clear,Suburban,52,37,21,5,5,52
22,0,Clear,Urban,42,28,7,3,3,48
12,0,Clear,Urban,44,23,14,2,3,41
22,0,Fog,Urban,63,13,9,3,4,26
10,0,Clear,Suburban,69,14,9,4,4,30
2,1,Clear,Urban,74,7,3,0,2,3
20,0,Clear,Suburban,68,18,7,2,3,34
4,0,Clear,Suburban,85,6,2,1,1,16
19,0,Rain,Urban,51,30,22,4,6,51
9,1,Clear,Suburban,48,44,17,6,4,42
13,0,Fog,Urban,72,18,10,2,2,27
0,0,Clear,Suburban,86,8,4,0,1,10
10,1,Clear,Urban,61,14,8,3,3,28
13,0,Rain,Urban,69,22,6,1,4,28
0,0,Clear,Highway,60,9,4,0,2,8
5,0,Clear,Suburban,60,3,3,0,2,15
6,1,Rain,Suburban,85,16,10,3,4,22
20,0,Clear,Highway,89,15,8,2,2,39
6,0,Rain,Urban,67,22,7,4,2,35
10,1,Clear,Suburban,65,18,6,3,3,30
18,1,Rain,Highway,43,24,17,3,2,54
17,0,Rain,Highway,48,49,24,6,4,62
4,0,Clear,Highway,82,5,2,0,2,18
11,0,Clear,Urban,84,26,7,4,2,29
3,1,Clear,Urban,82,8,2,1,1,7
9,0,Clear,Highway,52,54,10,6,6,70
17,0,Clear,Highway,58,39,12,4,2,56
1,0,Clear,Urban,76,7,1,1,1,17
7,0,Clear,Highway,40,30,22,5,3,59
5,0,Rain,Suburban,68,6,1,1,1,4
4,0,Rain,Urban,88,9,4,1,2,9
2,0,Clear,Urban,74,11,1,0,1,12
8,0,Clear,Urban,26,34,21,7,3,84
3,0,Clear,Highway,78,8,4,1,1,17
0,0,Rain,Suburban,85,8,4,0,1,8
0,0,Clear,Suburban,88,6,1,1,2,9
17,0,Clear,Urban,33,35,13,7,3,93
1,0,Clear,Suburban,60,7,3,0,1,11
10,1,Clear,Urban,80,19,6,2,4,24
15,0,Clear,Urban,40,24,8,4,4,49
15,0,Rain,Urban,75,16,13,1,2,32
14,0,Rain,Highway,75,16,10,1,4,28
11,0,Rain,Urban,60,29,12,2,2,28
13,1,Clear,Urban,81,12,12,1,3,19
5,1,Rain,Urban,79,4,2,1,2,4
5,0,Rain,Urban,62,5,2,0,1,6
6,1,Clear,Suburban,79,23,5,1,3,29
10,0,Clear,Urban,48,22,11,3,3,49
3,0,Clear,Urban,80,6,4,0,1,9
8,0,Fog,Highway,40,51,22,5,3,56
11,0,Clear,Suburban,78,17,9,1,4,23
10,1,Fog,Suburban,79,20,9,1,3,18
20,0,Clear,Highway,61,28,6,4,3,31
11,0,Rain,Suburban,69,22,14,3,3,36
4,0,Clear,Urban,80,3,1,0,1,19
17,1,Fog,Suburban,55,34,19,3,2,41
0,0,Clear,Suburban,88,9,1,0,1,12
8,0,Clear,Suburban,58,43,21,5,6,67
14,1,Fog,Urban,77,20,13,3,3,13
11,0,Rain,Highway,75,12,7,4,2,20
10,1,Clear,Suburban,65,20,7,3,2,21
21,0,Clear,Urban,73,17,7,4,2,30
22,0,Rain,Highway,69,16,9,4,3,19
22,0,Rain,Highway,78,18,6,3,3,20
16,0,Clear,Urban,65,13,13,4,2,32
12,0,Clear,Highway,47,14,14,2,3,42
9,0,Clear,Suburban,20,38,10,4,5,73
10,0,Clear,Highway,62,14,12,2,4,28
19,1,Clear,Urban,49,44,16,6,3,48
19,0,Clear,Urban,39,40,17,3,5,92
4,0,Clear,Highway,72,7,4,1,1,10
1,0,Rain,Urban,79,6,3,0,2,7
0,0,Clear,Urban,65,8,3,0,1,14
11,0,Rain,Highway,66,19,6,3,2,34
2,0,Clear,Urban,66,6,2,0,2,7
14,1,Clear,Urban,82,18,13,1,4,16
22,0,Rain,Highway,86,24,9,3,2,16
10,1,Clear,Suburban,89,16,14,1,2,31
21,0,Clear,Urban,58,26,11,2,4,45
19,0,Rain,Highway,57,43,10,6,2,49
2,1,Fog,Urban,89,7,4,0,2,6
18,1,Clear,Highway,51,36,23,3,2,67
10,0,Rain,Suburban,61,26,6,4,2,32
10,1,Rain,Highway,76,18,10,4,2,12
20,1,Clear,Urban,82,13,8,2,4,16
21,0,Clear,Urban,70,16,7,2,2,24
4,0,Clear,Urban,62,4,4,1,1,17
11,0,Rain,Urban,72,22,10,4,3,39
19,0,Fog,Highway,47,32,24,3,3,57
0,1,Clear,Suburban,76,5,1,1,2,11
17,0,Clear,Suburban,44,54,19,4,5,62
13,0,Clear,Urban,63,12,7,1,3,30
3,0,Rain,Highway,67,10,1,0,2,5
7,0,Rain,Suburban,40,34,21,3,2,43
3,0,Rain,Highway,72,9,4,1,1,9
2,0,Clear,Suburban,60,3,3,0,1,14
16,1,Fog,Suburban,81,19,14,1,2,9
1,1,Clear,Urban,69,4,3,0,2,8
19,0,Clear,Suburban,57,34,13,5,5,65
19,0,Fog,Suburban,53,53,15,5,6,49
12,0,Clear,Urban,75,17,12,3,4,26
4,1,Rain,Urban,77,8,4,0,1,4
6,1,Fog,Suburban,61,15,6,1,3,18
9,0,Fog,Highway,68,34,23,4,4,39
21,0,Clear,Urban,87,16,10,2,4,30
17,1,Clear,Highway,74,43,15,5,4,37
23,0,Clear,Urban,88,15,10,1,3,29
9,0,Clear,Suburban,30,43,11,7,3,91
6,0,Rain,Urban,76,15,14,1,4,36
0,0,Clear,Suburban,68,4,1,1,2,10
14,1,Clear,Urban,69,11,11,4,2,32
5,0,Clear,Highway,72,3,1,0,2,12
18,0,Clear,Urban,54,46,17,3,3,67
15,1,Clear,Suburban,69,20,9,3,3,14
18,1,Clear,Urban,45,44,12,3,6,53
15,0,Fog,Suburban,76,19,12,4,3,27
8,0,Clear,Suburban,30,57,21,6,4,98
16,0,Clear,Suburban,67,29,13,4,2,39
19,0,Clear,Urban,52,45,21,7,5,52
0,0,Clear,Suburban,87,7,4,0,1,15
5,1,Clear,Suburban,60,5,1,1,2,9
11,1,Rain,Urban,75,9,11,2,2,24
14,0,Clear,Highway,62,24,10,1,2,35
0,0,Clear,Suburban,74,11,3,1,2,9
0,0,Clear,Suburban,61,10,2,1,2,19
0,1,Clear,Highway,83,3,4,0,1,7
4,0,Clear,Urban,85,9,3,0,2,11
10,1,Clear,Urban,72,12,11,3,3,32
18,1,Clear,Highway,60,32,21,6,4,39
5,0,Clear,Urban,78,6,3,1,2,17
2,0,Clear,Suburban,82,3,2,1,2,17
10,1,Clear,Suburban,86,15,6,1,3,28
12,1,Fog,Urban,60,20,10,2,3,15
23,1,Clear,Urban,77,22,13,2,4,18
14,0,Clear,Suburban,44,15,14,3,3,47
0,0,Clear,Highway,84,6,2,1,2,10
6,0,Clear,Urban,67,23,9,1,3,34
4,0,Clear,Suburban,74,7,3,0,2,9
19,0,Clear,Highway,20,53,13,4,5,94
18,0,Clear,Urban,20,50,20,4,3,79
14,0,Clear,Urban,88,23,12,2,4,26
21,1,Clear,Highway,65,23,13,3,4,26
20,0,Clear,Urban,66,24,9,2,3,32
10,1,Clear,Highway,82,13,9,4,2,32
18,0,Fog,Highway,62,55,14,7,4,31
21,0,Clear,Highway,69,21,5,1,2,30
23,1,Rain,Highway,78,19,9,4,3,16
1,0,Rain,Highway,72,4,2,1,2,15
8,1,Fog,Urban,68,40,21,4,6,25
4,1,Clear,Suburban,70,2,3,0,2,5
11,0,Clear,Highway,68,17,10,3,2,34
22,0,Clear,Suburban,80,28,12,3,2,28
0,0,Clear,Urban,66,5,2,0,1,15
7,0,Rain,Suburban,51,58,16,5,6,44
5,1,Rain,Highway,67,5,1,0,1,5
4,0,Fog,Urban,75,10,2,0,1,7
11,0,Clear,Highway,72,14,13,4,3,35
0,0,Clear,Urban,68,10,3,0,1,18
15,0,Clear,Suburban,44,18,10,2,2,46
8,0,Clear,Urban,41,57,14,6,4,60
1,0,Clear,Suburban,79,10,2,0,1,10
0,0,Clear,Urban,70,6,3,0,2,8
16,0,Rain,Suburban,75,28,11,3,3,36
18,0,Clear,Urban,27,41,10,3,6,72
11,0,Clear,Highway,77,20,10,4,2,31
10,0,Rain,Highway,87,25,13,2,4,32
6,0,Clear,Highway,58,16,8,3,4,42
0,1,Clear,Suburban,77,7,4,0,2,4
7,0,Clear,Urban,36,39,16,6,5,88
7,1,Clear,Urban,55,42,15,7,3,44
19,0,Clear,Highway,25,58,13,6,4,91
15,1,Fog,Urban,85,13,9,3,3,16
8,1,Clear,Suburban,44,34,17,6,2,58
14,1,Clear,Urban,63,20,14,3,2,23
18,0,Rain,Urban,42,40,14,7,3,62
6,0,Rain,Suburban,68,22,6,2,2,35
6,1,Clear,Highway,69,22,14,4,3,14
13,0,Rain,Suburban,77,14,9,3,4,28
5,0,Rain,Highway,75,10,1,1,1,4
20,0,Clear,Highway,52,19,12,2,4,44
3,0,Clear,Highway,60,5,1,1,2,9
9,0,Clear,Urban,45,53,24,4,5,54
18,0,Clear,Suburban,27,56,10,4,5,82
21,0,Fog,Urban,89,23,14,1,2,18
7,1,Fog,Highway,84,34,12,7,3,24
15,0,Rain,Suburban,80,27,12,3,2,20
20,0,Clear,Suburban,62,13,13,2,3,32
19,0,Rain,Urban,57,53,15,3,5,54
22,0,Fog,Highway,66,17,14,4,2,21
21,0,Fog,Suburban,73,21,11,1,2,26
0,0,Clear,Suburban,85,5,4,0,2,7
17,1,Clear,Urban,53,39,10,7,4,42
13,0,Clear,Urban,43,27,12,2,3,49
19,1,Rain,Urban,62,33,11,4,4,33
22,0,Rain,Urban,65,14,8,2,4,16
13,0,Rain,Urban,69,12,12,2,3,24
11,1,Rain,Suburban,83,16,9,4,3,12
16,0,Clear,Suburban,84,20,5,4,3,31
15,0,Clear,Urban,87,24,10,2,2,30
7,0,Clear,Urban,45,54,20,5,2,61
17,0,Clear,Suburban,32,56,22,4,6,91
12,0,Clear,Suburban,78,26,10,1,2,23
21,0,Clear,Highway,53,15,9,3,2,47
16,0,Clear,Highway,86,12,11,2,4,25
20,0,Fog,Urban,62,14,8,4,4,15
21,0,Clear,Suburban,87,23,5,2,3,29
12,1,Clear,Urban,78,15,14,2,3,18
17,0,Clear,Urban,40,59,19,4,3,54
20,1,Clear,Urban,69,10,8,4,4,23
16,1,Clear,Suburban,68,9,12,2,3,16
2,1,Clear,Urban,69,2,3,0,2,4
21,0,Clear,Suburban,89,18,7,3,2,26
21,0,Clear,Urban,67,29,11,3,3,27
6,1,Rain,Urban,62,20,5,3,2,20
18,0,Clear,Highway,48,36,11,7,2,60
21,0,Clear,Suburban,67,14,14,4,2,27
21,0,Clear,Highway,74,17,14,3,4,24
12,0,Clear,Urban,53,20,5,1,4,43
22,1,Clear,Urban,78,12,5,1,3,27
1,1,Fog,Suburban,66,6,3,1,2,4
4,1,Clear,Suburban,63,4,1,1,2,11
4,0,Fog,Highway,64,8,4,0,2,3
4,0,Clear,Suburban,76,11,2,0,1,16
21,0,Clear,Highway,40,17,14,1,3,49
1,0,Clear,Highway,77,7,4,1,1,19
11,1,Clear,Highway,75,22,7,2,4,21
10,0,Fog,Suburban,79,20,8,2,3,17
16,0,Clear,Urban,66,17,10,3,2,28
11,0,Fog,Suburban,64,29,10,3,3,26
15,0,Rain,Urban,71,13,6,4,4,17
0,0,Clear,Highway,89,11,3,1,2,12
19,0,Rain,Suburban,45,39,23,6,6,57
14,0,Clear,Highway,83,13,9,3,3,34
13,1,Clear,Highway,76,18,14,3,2,21
6,1,Fog,Highway,79,9,13,4,3,10
11,1,Clear,Urban,85,19,10,1,4,25
23,1,Clear,Highway,83,11,10,4,3,34
13,1,Fog,Highway,60,16,13,4,3,10
12,0,Clear,Highway,54,16,7,4,2,44
13,0,Clear,Highway,89,27,11,4,3,38
8,0,Fog,Urban,60,36,10,4,6,39
2,0,Clear,Highway,80,5,4,0,2,15
6,1,Clear,Suburban,81,9,7,3,2,18
15,1,Rain,Urban,82,17,13,1,2,12
18,0,Clear,Highway,32,34,15,6,2,81
3,0,Rain,Highway,80,10,3,1,1,8
20,0,Clear,Suburban,56,28,13,1,4,42
0,1,Clear,Urban,74,6,3,1,1,11
18,0,Clear,Suburban,53,57,22,6,5,51
13,0,Clear,Highway,87,24,9,4,3,39
13,0,Clear,Urban,60,21,6,1,4,32
8,1,Clear,Suburban,42,38,12,4,2,46
8,1,Fog,Highway,62,28,15,7,3,39
7,1,Clear,Urban,53,25,16,7,2,60
1,0,Clear,Urban,72,5,3,1,2,11
4,0,Clear,Highway,68,5,3,0,1,16
19,0,Rain,Suburban,42,58,24,5,5,42
15,1,Clear,Highway,66,16,9,4,2,33
18,0,Rain,Suburban,49,35,17,5,6,67
21,1,Clear,Highway,64,12,14,3,4,18
11,0,Clear,Highway,69,18,10,4,3,24
18,1,Clear,Suburban,58,28,17,7,3,52
22,0,Clear,Suburban,58,25,12,3,2,46
11,1,Rain,Highway,84,21,9,4,2,16
2,0,Clear,Highway,86,5,3,0,1,5
10,0,Rain,Urban,64,14,13,4,2,20
5,0,Clear,Urban,68,3,4,0,2,7
15,0,Clear,Urban,49,20,9,1,3,45
18,0,Clear,Urban,28,41,18,5,5,95
20,0,Rain,Suburban,63,19,11,1,2,32
0,0,Clear,Urban,70,6,3,0,1,7
1,0,Clear,Urban,86,8,1,0,2,17
22,0,Clear,Suburban,45,25,7,3,4,46
20,0,Clear,Highway,77,13,6,2,2,26
14,0,Clear,Suburban,40,26,14,3,3,48
17,0,Clear,Urban,27,46,20,4,4,73
4,0,Clear,Highway,86,10,4,1,1,19
18,0,Clear,Urban,22,59,16,4,3,72
12,1,Clear,Urban,69,21,9,2,2,33
12,0,Clear,Urban,74,13,13,3,2,22
14,0,Fog,Highway,89,20,8,1,4,19
13,0,Clear,Suburban,48,28,12,2,2,46
0,0,Clear,Highway,72,3,4,1,1,10
14,0,Rain,Suburban,80,19,6,2,2,22
18,1,Clear,Urban,53,44,23,7,2,56
6,0,Rain,Suburban,62,23,11,2,2,21
0,0,Rain,Urban,87,7,3,1,1,8
15,0,Clear,Urban,80,28,14,3,4,34
3,0,Clear,Highway,64,9,1,1,1,19
0,1,Clear,Urban,87,6,2,0,1,10
11,0,Clear,Highway,47,29,14,4,3,43
15,0,Fog,Suburban,67,15,6,4,4,15
2,0,Clear,Suburban,71,3,2,1,2,13
4,0,Clear,Suburban,65,9,4,1,2,9
18,1,Clear,Highway,87,44,16,7,3,40
9,0,Clear,Urban,31,58,17,4,4,94
7,0,Rain,Highway,57,45,23,6,3,48
7,0,Clear,Urban,55,53,10,5,5,61
8,0,Clear,Urban,47,53,12,6,2,55
16,0,Clear,Highway,62,12,9,1,3,40
0,1,Clear,Suburban,77,6,1,1,2,5
12,0,Fog,Suburban,75,17,5,1,4,27
21,0,Clear,Suburban,80,16,7,1,4,31
13,0,Rain,Suburban,66,12,7,4,4,24
15,1,Clear,Urban,76,19,11,3,4,28
12,0,Rain,Urban,62,27,9,2,3,24
15,0,Rain,Highway,79,18,6,1,3,23
13,0,Clear,Urban,42,28,5,1,2,42
15,0,Clear,Suburban,64,27,8,3,2,33
11,0,Clear,Highway,89,23,13,4,4,37
0,0,Clear,Urban,73,3,2,1,2,11
1,1,Clear,Highway,67,8,3,1,1,4
1,0,Clear,Urban,85,6,1,0,2,10
6,0,Clear,Urban,77,16,12,3,2,30
0,1,Clear,Highway,69,6,2,0,1,9
12,0,Fog,Urban,61,26,6,1,4,23
7,0,Rain,Urban,47,40,20,7,6,68
1,0,Rain,Urban,86,11,3,1,1,8
0,0,Fog,Suburban,68,4,2,1,1,3
6,1,Fog,Urban,86,19,12,3,2,13
22,0,Fog,Suburban,82,29,8,3,3,18
21,1,Clear,Urban,63,16,12,3,4,30
1,0,Clear,Highway,82,10,2,0,2,9
22,0,Clear,Highway,80,29,5,2,4,24
14,0,Clear,Urban,83,29,12,4,4,30
0,1,Clear,Suburban,74,4,4,0,2,8
1,1,Rain,Suburban,62,4,2,1,2,10
12,0,Rain,Urban,63,26,11,3,4,39
4,0,Rain,Suburban,72,4,1,0,2,15
17,0,Clear,Urban,53,55,15,5,5,55
19,0,Clear,Highway,42,45,16,5,5,69
12,1,Clear,Urban,71,12,14,4,3,31
6,0,Clear,Urban,87,23,5,2,4,22
6,0,Clear,Highway,88,24,6,2,3,32
2,0,Clear,Suburban,70,4,4,0,1,18
23,0,Clear,Urban,86,28,7,3,2,30
20,0,Rain,Urban,73,21,13,3,3,26
4,1,Clear,Urban,72,3,4,1,1,13
14,0,Clear,Highway,55,27,9,1,4,47
15,0,Rain,Urban,71,21,6,1,2,39
4,1,Rain,Suburban,81,8,4,0,2,7
3,0,Clear,Highway,68,7,4,1,2,9
3,0,Clear,Urban,88,4,4,0,2,11
18,0,Clear,Urban,45,44,12,3,5,53
6,0,Fog,Highway,73,19,10,2,2,14
0,1,Clear,Highway,87,6,4,1,1,12
11,0,Clear,Suburban,71,27,13,3,3,24
10,0,Clear,Highway,58,25,14,1,4,42
3,0,Clear,Suburban,80,9,4,1,1,13
22,1,Clear,Highway,81,16,8,1,2,30
15,0,Clear,Urban,63,14,11,2,4,28
17,0,Clear,Highway,58,46,15,7,2,67
0,0,Fog,Suburban,69,10,1,0,2,10
12,0,Rain,Highway,62,26,12,3,4,28
2,0,Rain,Urban,82,11,1,1,2,15
3,0,Clear,Highway,69,4,1,0,1,15
5,1,Clear,Urban,87,2,4,1,2,8
4,0,Clear,Suburban,83,4,3,0,2,13
22,0,Clear,Highway,70,12,7,2,3,22
2,1,Fog,Highway,61,6,3,1,2,7
19,1,Clear,Highway,58,44,18,4,4,60
4,0,Clear,Suburban,65,3,1,1,2,16
16,0,Clear,Suburban,61,21,11,3,3,24
13,0,Rain,Suburban,82,26,9,1,3,21
7,1,Clear,Urban,41,33,22,4,6,51
1,1,Fog,Highway,85,4,1,1,2,5
19,0,Clear,Urban,36,38,21,4,6,71
14,0,Clear,Suburban,82,14,13,3,3,28
2,0,Clear,Suburban,67,4,3,1,2,11
6,0,Clear,Highway,89,23,10,4,3,31
0,1,Rain,Urban,84,3,3,0,2,10
19,0,Clear,Highway,23,58,24,4,2,79
8,0,Clear,Urban,54,52,15,4,3,56
9,0,Rain,Suburban,30,32,11,3,6,78
4,1,Clear,Urban,62,6,1,0,1,4
7,0,Rain,Suburban,27,47,17,5,4,74
4,0,Rain,Suburban,83,8,4,1,2,15
12,1,Fog,Highway,64,18,12,3,2,9
11,0,Rain,Urban,85,19,7,4,3,24
22,0,Clear,Suburban,79,29,14,1,4,32
0,0,Fog,Suburban,75,8,3,0,1,8
16,0,Clear,Urban,52,27,8,3,2,47
14,0,Clear,Highway,53,19,5,1,3,48
22,0,Clear,Suburban,57,15,7,1,3,44
5,1,Clear,Suburban,71,4,1,0,2,12
16,1,Fog,Suburban,72,11,14,4,4,15
20,0,Clear,Urban,53,16,14,3,4,46
19,1,Clear,Urban,55,46,19,3,4,55
16,0,Clear,Highway,85,25,5,2,4,33
19,1,Clear,Suburban,67,43,10,7,6,36
20,0,Clear,Suburban,53,22,11,2,3,48
4,0,Rain,Urban,81,8,1,0,1,13
11,0,Clear,Highway,72,19,12,2,4,33
0,1,Rain,Urban,67,5,2,1,1,7
11,1,Rain,Urban,67,20,13,3,3,19
10,1,Clear,Suburban,68,21,7,1,2,25
10,1,Clear,Suburban,66,16,12,3,2,14
23,0,Clear,Suburban,83,25,10,2,2,22
7,0,Clear,Highway,56,53,15,3,6,52
6,1,Clear,Urban,74,21,10,4,2,14
16,1,Clear,Urban,63,16,9,3,3,34
8,0,Clear,Suburban,37,49,16,3,3,92
8,0,Clear,Highway,31,35,21,5,6,73
4,1,Clear,Urban,64,7,3,1,1,6
21,0,Rain,Suburban,68,23,11,2,2,31
3,1,Clear,Urban,68,5,1,0,1,9
5,0,Rain,Highway,80,9,1,0,1,12
9,1,Clear,Suburban,59,38,14,4,4,49
12,0,Clear,Highway,43,29,9,2,2,45
19,0,Clear,Suburban,44,32,22,6,4,50
21,0,Clear,Suburban,85,24,7,3,3,29
12,0,Rain,Urban,76,21,13,2,4,24
4,0,Clear,Urban,86,11,1,1,2,5
10,0,Clear,Urban,46,28,7,1,3,43
0,1,Clear,Urban,64,2,4,1,2,10
7,0,Rain,Suburban,45,34,20,7,4,43
10,0,Clear,Highway,60,29,12,2,2,37
5,0,Clear,Urban,65,11,1,1,1,19
7,0,Clear,Urban,48,33,21,4,6,54
18,1,Clear,Suburban,46,31,24,5,3,58
13,0,Clear,Highway,72,17,11,4,3,38
18,0,Clear,Highway,38,53,23,7,5,96
21,0,Clear,Highway,79,12,9,2,4,22
15,0,Clear,Urban,88,18,13,1,3,30
6,0,Clear,Suburban,67,24,12,3,4,31
4,0,Rain,Suburban,68,3,2,1,2,4
2,0,Clear,Highway,60,11,4,1,2,13
9,0,Rain,Highway,43,52,14,6,3,54
4,0,Clear,Highway,84,10,2,0,1,14
4,0,Clear,Suburban,67,7,4,0,1,6
4,1,Clear,Suburban,68,6,2,0,1,12
3,0,Fog,Highway,72,5,1,0,1,11
19,0,Clear,Suburban,35,33,22,7,2,77
3,0,Clear,Highway,82,3,3,0,1,8
3,0,Clear,Suburban,67,6,4,1,1,7
3,0,Clear,Urban,83,9,2,1,2,14
2,0,Clear,Urban,65,7,1,0,1,16
17,0,Clear,Urban,56,42,14,3,5,54
13,0,Clear,Urban,78,25,12,3,2,35
14,1,Clear,Urban,60,22,7,4,4,31
18,0,Clear,Highway,56,39,11,3,3,51
20,1,Clear,Suburban,72,23,10,3,2,30
4,0,Clear,Suburban,63,10,1,1,2,9
2,1,Clear,Highway,88,4,4,1,2,6
12,1,Clear,Urban,65,14,10,2,4,23
19,0,Clear,Urban,38,51,13,6,5,88
22,0,Fog,Urban,82,18,8,1,2,19
2,0,Rain,Urban,80,10,1,0,2,8
7,0,Clear,Urban,25,58,11,5,2,90
15,0,Clear,Suburban,62,24,7,4,2,40
8,1,Clear,Urban,50,35,11,6,6,67
12,0,Rain,Urban,62,14,9,3,4,39
1,1,Clear,Suburban,82,4,1,1,2,5
21,1,Rain,Suburban,66,15,14,4,4,23
15,0,Fog,Suburban,84,27,14,1,3,19
22,0,Clear,Urban,80,20,8,3,4,26
0,0,Rain,Suburban,71,11,1,0,1,13
17,0,Clear,Highway,30,47,13,6,5,99
5,1,Clear,Suburban,63,8,2,1,1,7
21,1,Fog,Highway,83,13,11,3,2,10
20,0,Clear,Urban,84,21,9,4,3,32
2,0,Clear,Urban,68,5,1,1,1,8
