hour,day_of_week,weather,vehicle_count
6,4,rainy,18
19,1,sunny,24
8,0,sunny,24
0,3,cloudy,22
7,4,sunny,20
6,1,sunny,26
17,4,rainy,26
7,6,sunny,42
0,3,cloudy,14
10,3,rainy,12
17,6,cloudy,22
22,2,rainy,11
9,6,sunny,34
2,5,rainy,10
6,5,rainy,18
15,1,sunny,10
15,3,sunny,18
19,2,cloudy,35
16,2,cloudy,19
1,4,sunny,28
0,4,sunny,23
15,6,sunny,31
11,2,rainy,11
4,6,rainy,16
4,6,rainy,21
22,4,sunny,12
8,3,cloudy,32
8,6,sunny,33
2,0,rainy,21
18,3,rainy,28
15,2,sunny,25
15,2,sunny,16
2,6,rainy,25
19,3,rainy,32
23,4,rainy,14
21,4,sunny,16
23,5,rainy,16
0,2,rainy,21
23,1,cloudy,33
19,5,sunny,30
10,4,cloudy,14
16,3,cloudy,24
7,4,rainy,21
3,3,sunny,25
5,5,rainy,22
7,2,sunny,29
19,4,cloudy,32
2,6,sunny,26
15,3,rainy,14
2,2,rainy,6
17,1,rainy,25
13,3,sunny,27
17,5,cloudy,26
1,1,cloudy,15
21,1,sunny,22
2,0,rainy,15
15,4,cloudy,22
8,3,rainy,21
3,1,sunny,25
0,0,rainy,15
3,5,cloudy,28
0,2,cloudy,21
13,6,rainy,20
20,6,sunny,28
15,3,rainy,15
19,1,sunny,24
23,6,rainy,25
7,4,cloudy,34
6,6,sunny,14
2,6,sunny,21
16,6,sunny,30
0,0,cloudy,10
15,1,rainy,19
11,4,cloudy,19
18,1,sunny,36
21,3,rainy,14
22,3,cloudy,16
21,3,sunny,21
13,5,sunny,24
5,6,cloudy,20
5,5,cloudy,36
12,0,cloudy,15
18,3,sunny,18
21,4,cloudy,27
7,1,sunny,27
1,6,cloudy,23
20,2,sunny,18
0,4,sunny,17
14,6,rainy,16
0,5,cloudy,20
4,5,cloudy,25
15,4,sunny,17
18,5,sunny,38
3,3,sunny,22
2,0,rainy,10
16,1,rainy,15
16,0,sunny,17
11,6,cloudy,20
13,1,cloudy,23
20,1,rainy,14
5,0,rainy,12
2,4,sunny,15
8,1,cloudy,24
4,0,sunny,29
23,1,rainy,16
16,2,cloudy,14
13,4,cloudy,21
20,3,rainy,20
2,1,sunny,20
0,2,sunny,26
19,3,cloudy,22
20,3,rainy,5
22,6,cloudy,26
0,1,rainy,16
2,0,sunny,3
17,1,rainy,21
9,2,sunny,24
21,3,rainy,8
2,1,cloudy,14
7,0,sunny,32
13,6,cloudy,19
23,1,cloudy,15
17,4,sunny,21
14,6,sunny,31
21,0,cloudy,22
22,2,cloudy,7
1,3,cloudy,15
9,1,cloudy,32
1,0,sunny,26
16,6,sunny,29
7,4,cloudy,28
0,0,rainy,5
8,5,rainy,34
10,4,sunny,18
21,6,cloudy,25
15,2,cloudy,19
6,3,sunny,13
9,6,rainy,31
22,2,rainy,16
2,1,rainy,12
17,0,sunny,32
23,5,rainy,13
12,4,sunny,18
6,4,sunny,20
3,0,cloudy,11
12,5,rainy,19
19,0,sunny,33
0,1,rainy,13
7,2,rainy,24
13,6,cloudy,27
15,4,rainy,13
13,1,cloudy,18
11,2,sunny,14
18,1,rainy,24
22,5,sunny,23
14,4,rainy,17
1,6,sunny,27
1,0,rainy,18
22,0,rainy,12
21,2,rainy,4
18,6,rainy,33
21,3,rainy,17
21,5,rainy,16
16,2,rainy,17
19,3,rainy,17
9,1,rainy,30
5,5,sunny,23
14,1,cloudy,15
21,6,rainy,16
10,4,cloudy,18
4,5,rainy,19
0,3,rainy,15
7,4,sunny,27
20,0,sunny,21
11,3,cloudy,20
11,2,sunny,16
4,0,sunny,16
6,0,cloudy,23
3,2,sunny,22
5,5,rainy,20
12,0,cloudy,24
19,6,cloudy,25
14,3,rainy,12
2,4,sunny,14
22,0,cloudy,31
7,3,cloudy,33
19,1,rainy,24
15,3,rainy,18
12,4,sunny,25
17,3,cloudy,35
9,2,sunny,34
18,4,sunny,28
16,5,rainy,17
23,1,cloudy,15
18,2,cloudy,32
22,5,cloudy,24
4,3,rainy,12
20,4,rainy,12
22,1,rainy,22
8,2,rainy,29
11,5,rainy,29
20,5,cloudy,27
0,1,sunny,20
0,6,cloudy,24
14,3,sunny,14
1,1,rainy,8
21,5,sunny,27
15,0,cloudy,15
7,2,cloudy,31
12,1,sunny,25
20,6,rainy,16
0,5,rainy,30
15,3,cloudy,15
6,5,sunny,29
4,3,rainy,17
21,1,rainy,20
22,3,cloudy,14
2,4,rainy,26
11,4,sunny,19
15,4,cloudy,23
18,6,cloudy,42
4,6,sunny,21
21,0,cloudy,24
13,6,rainy,16
4,1,rainy,21
14,5,sunny,21
16,5,rainy,20
13,0,sunny,21
19,6,sunny,38
4,3,rainy,24
11,0,sunny,17
15,3,rainy,20
15,3,cloudy,29
20,2,cloudy,20
6,5,sunny,22
3,4,rainy,6
0,6,rainy,29
4,3,cloudy,18
22,2,cloudy,14
9,5,rainy,23
21,4,sunny,14
4,3,cloudy,24
3,3,sunny,25
1,0,sunny,23
19,0,cloudy,30
9,5,sunny,28
18,4,sunny,26
0,3,rainy,9
23,5,sunny,27
4,5,rainy,14
12,1,cloudy,16
3,6,cloudy,24
15,0,rainy,6
23,4,cloudy,20
15,3,sunny,19
22,5,sunny,30
1,3,sunny,15
16,1,cloudy,13
19,4,sunny,28
23,5,cloudy,19
11,3,sunny,20
17,0,rainy,15
2,6,cloudy,21
0,1,cloudy,15
0,4,sunny,22
18,1,cloudy,25
10,0,cloudy,11
4,4,rainy,13
11,1,rainy,16
2,2,sunny,18
0,0,rainy,11
0,0,sunny,16
7,0,sunny,30
9,2,sunny,25
10,2,cloudy,18
11,3,rainy,18
12,5,sunny,18
11,6,rainy,19
13,1,sunny,11
1,3,rainy,16
18,1,rainy,20
17,6,sunny,40
2,5,cloudy,17
22,2,rainy,17
16,5,cloudy,31
7,2,cloudy,24
9,6,sunny,30
1,5,sunny,20
18,3,sunny,27
8,4,rainy,27
6,3,sunny,17
3,1,sunny,14
20,3,rainy,4
17,6,rainy,38
12,0,sunny,28
10,1,sunny,22
23,5,sunny,20
3,1,sunny,23
20,4,cloudy,24
3,2,cloudy,18
9,5,sunny,35
4,1,cloudy,26
8,5,rainy,21
23,5,cloudy,29
2,5,cloudy,23
16,2,sunny,14
2,6,cloudy,19
15,3,cloudy,15
3,5,cloudy,18
17,0,cloudy,38
16,6,rainy,22
6,4,sunny,25
23,2,sunny,22
22,1,rainy,15
4,2,cloudy,20
11,1,rainy,13
16,2,cloudy,18
22,1,rainy,7
12,5,sunny,30
22,3,sunny,10
2,1,sunny,14
8,1,cloudy,40
16,0,cloudy,20
16,1,rainy,15
19,0,rainy,28
15,4,sunny,12
21,5,cloudy,18
12,0,rainy,12
18,3,cloudy,25
16,6,cloudy,24
3,5,sunny,27
11,0,sunny,26
8,5,cloudy,39
18,5,cloudy,30
11,5,cloudy,23
8,4,cloudy,26
6,3,sunny,14
13,2,rainy,8
19,2,sunny,38
18,0,rainy,25
14,5,cloudy,23
15,0,rainy,17
20,4,sunny,22
4,4,sunny,25
2,1,cloudy,16
11,4,sunny,22
19,1,cloudy,25
20,3,sunny,19
3,0,sunny,20
20,6,cloudy,25
22,3,rainy,15
15,4,sunny,24
6,3,rainy,12
12,3,sunny,20
20,3,sunny,16
9,4,sunny,44
6,6,sunny,20
13,5,rainy,16
4,3,rainy,19
2,1,sunny,17
22,4,sunny,24
10,3,rainy,15
10,6,cloudy,22
17,5,cloudy,31
14,4,rainy,11
11,2,sunny,18
8,5,sunny,34
9,1,cloudy,25
11,3,cloudy,19
16,6,rainy,14
5,2,cloudy,23
6,6,rainy,24
13,2,cloudy,16
12,4,cloudy,16
7,2,cloudy,30
9,1,sunny,36
8,1,sunny,37
17,0,sunny,22
1,1,cloudy,25
4,5,rainy,19
4,2,rainy,14
5,1,rainy,17
18,4,rainy,22
7,6,sunny,40
15,6,sunny,32
12,0,cloudy,27
0,6,cloudy,15
21,2,rainy,13
19,0,sunny,20
16,2,rainy,11
6,4,cloudy,8
12,0,cloudy,22
3,3,rainy,16
3,5,cloudy,22
5,5,rainy,16
18,2,sunny,31
11,6,rainy,14
21,3,sunny,14
6,0,sunny,13
9,3,cloudy,28
18,3,cloudy,27
6,6,cloudy,23
2,0,rainy,17
12,4,rainy,19
12,6,cloudy,32
17,3,rainy,25
19,3,cloudy,31
7,4,rainy,25
8,3,sunny,21
6,3,sunny,18
0,3,cloudy,18
2,5,rainy,17
12,6,rainy,19
16,1,sunny,18
23,6,sunny,20
0,4,cloudy,19
5,3,sunny,16
20,6,cloudy,11
5,5,sunny,18
11,4,sunny,20
12,2,rainy,20
12,6,sunny,12
14,2,sunny,15
20,3,cloudy,22
15,5,sunny,29
21,5,cloudy,22
20,6,sunny,21
10,4,sunny,26
4,4,cloudy,23
3,5,rainy,24
2,4,cloudy,17
18,5,cloudy,40
19,6,cloudy,25
17,1,rainy,30
14,5,sunny,24
8,2,cloudy,30
16,4,cloudy,15
13,5,rainy,10
14,5,cloudy,25
0,6,sunny,27
20,4,rainy,18
21,1,sunny,22
21,6,sunny,26
2,1,rainy,10
15,6,cloudy,28
22,4,sunny,14
10,0,sunny,25
11,4,sunny,19
9,4,sunny,29
15,1,rainy,19
7,1,rainy,30
5,4,sunny,23
11,4,cloudy,15
23,4,sunny,23
20,1,cloudy,15
7,4,sunny,33
3,4,cloudy,12
7,3,sunny,29
17,0,cloudy,25
4,2,sunny,24
8,0,sunny,35
3,3,cloudy,20
21,2,rainy,15
16,6,cloudy,28
8,4,rainy,30
0,3,sunny,20
20,6,cloudy,22
19,4,cloudy,33
12,1,cloudy,10
15,5,rainy,24
12,3,rainy,11
13,1,sunny,18
2,3,rainy,19
5,3,rainy,12
17,1,sunny,33
18,2,cloudy,35
4,0,cloudy,20
14,4,sunny,21
1,3,cloudy,19
9,4,rainy,25
23,5,sunny,19
17,1,sunny,28
12,4,sunny,13
4,1,cloudy,15
22,4,sunny,9
23,0,sunny,21
0,0,sunny,28
21,0,cloudy,17
0,0,rainy,19
17,0,sunny,35
14,0,rainy,9
16,1,cloudy,15
10,3,cloudy,24
20,4,cloudy,19
21,0,cloudy,13
16,1,rainy,11
12,1,sunny,22
0,1,cloudy,16
1,3,cloudy,6
8,4,rainy,23
2,3,rainy,13
0,2,cloudy,20
20,6,sunny,31
15,1,sunny,20
22,2,cloudy,21
5,5,rainy,25
16,0,cloudy,20
4,6,cloudy,35
4,0,rainy,8
5,3,cloudy,15
2,6,cloudy,28
20,4,cloudy,26
22,2,rainy,13
4,4,sunny,14
20,3,sunny,28
4,0,rainy,11
9,6,sunny,36
9,4,cloudy,36
18,4,sunny,27
16,0,cloudy,16
20,6,sunny,22
13,2,rainy,19
8,0,sunny,35
13,4,sunny,20
0,2,sunny,29
18,2,rainy,25
12,0,sunny,26
12,4,rainy,12
3,3,cloudy,31
0,4,sunny,27
16,1,rainy,14
7,6,rainy,37
1,5,sunny,31
7,3,cloudy,37
6,2,rainy,2
1,3,sunny,23
21,6,cloudy,27
21,2,rainy,17
2,6,rainy,21
17,2,cloudy,31
11,3,cloudy,26
0,2,sunny,22
21,2,sunny,21
11,1,rainy,20
4,4,cloudy,22
16,4,cloudy,22
15,5,cloudy,34
14,5,rainy,17
22,1,cloudy,12
14,5,cloudy,25
4,6,rainy,21
20,3,sunny,23
13,0,sunny,20
1,6,rainy,23
10,0,cloudy,32
18,0,rainy,29
6,1,sunny,24
5,6,sunny,24
1,1,rainy,8
5,2,rainy,3
17,0,sunny,27
1,3,rainy,2
17,5,sunny,37
14,3,rainy,13
18,5,rainy,23
1,0,rainy,15
19,0,sunny,26
5,0,rainy,17
0,1,sunny,23
23,6,sunny,21
14,5,rainy,18
22,6,rainy,21
9,1,sunny,22
18,1,sunny,31
16,4,cloudy,12
4,3,sunny,22
3,3,cloudy,17
9,2,cloudy,22
23,1,cloudy,17
16,5,rainy,17
9,4,rainy,30
16,4,sunny,20
19,6,cloudy,30
23,3,rainy,23
4,1,rainy,18
1,2,rainy,13
5,1,rainy,7
20,6,rainy,17
1,0,cloudy,18
12,1,cloudy,21
10,6,cloudy,28
10,0,cloudy,24
15,0,sunny,11
10,2,cloudy,21
18,5,rainy,29
14,3,cloudy,33
22,1,sunny,20
22,0,rainy,11
15,1,cloudy,20
10,5,cloudy,24
21,3,cloudy,10
15,5,rainy,22
7,3,rainy,23
3,4,sunny,19
7,3,rainy,20
3,2,rainy,9
23,5,cloudy,29
2,0,rainy,20
2,4,cloudy,22
17,2,cloudy,20
18,1,rainy,27
18,5,sunny,26
20,6,sunny,21
4,6,rainy,24
17,0,sunny,33
9,3,cloudy,32
21,0,cloudy,26
20,6,rainy,22
5,1,sunny,9
0,4,sunny,18
4,4,cloudy,19
8,5,rainy,29
11,4,sunny,16
13,5,rainy,14
1,5,sunny,37
16,5,cloudy,23
13,6,cloudy,36
12,6,rainy,14
8,3,cloudy,33
14,2,sunny,21
21,5,cloudy,20
14,5,rainy,17
23,2,rainy,14
10,0,rainy,10
15,5,sunny,23
16,3,sunny,8
3,4,sunny,23
0,4,sunny,26
7,1,sunny,32
16,1,cloudy,31
2,4,sunny,23
19,4,sunny,35
14,6,cloudy,31
14,3,sunny,6
23,2,rainy,17
21,1,sunny,13
13,6,sunny,19
22,6,rainy,14
13,2,rainy,13
23,6,rainy,23
1,3,rainy,17
12,4,sunny,19
13,5,rainy,23
23,2,rainy,18
18,4,cloudy,32
6,4,rainy,6
2,0,rainy,11
14,2,cloudy,20
22,6,cloudy,28
13,5,sunny,18
10,2,cloudy,19
14,6,sunny,17
12,4,cloudy,25
17,5,cloudy,36
5,6,sunny,18
2,3,cloudy,13
18,6,sunny,36
14,0,cloudy,26
22,4,rainy,9
4,6,cloudy,28
9,1,sunny,27
6,1,cloudy,24
16,0,sunny,23
6,3,sunny,20
21,4,rainy,5
11,2,rainy,18
16,0,sunny,22
12,3,cloudy,22
19,2,sunny,30
3,1,sunny,15
9,1,cloudy,35
2,2,cloudy,24
8,0,cloudy,24
12,1,cloudy,26
17,4,sunny,30
14,5,sunny,25
3,6,rainy,19
14,2,sunny,19
21,2,cloudy,26
1,1,rainy,20
14,0,cloudy,25
7,4,sunny,30
7,0,rainy,29
16,3,cloudy,15
11,3,rainy,17
18,5,rainy,29
9,1,sunny,19
8,1,cloudy,22
4,1,rainy,11
5,5,rainy,22
19,3,cloudy,26
1,0,rainy,12
23,5,rainy,23
12,5,rainy,17
5,0,cloudy,26
4,1,cloudy,25
0,4,cloudy,20
20,0,cloudy,23
21,3,sunny,23
20,2,rainy,13
5,2,cloudy,24
5,6,rainy,25
22,6,rainy,15
15,5,sunny,25
3,2,cloudy,20
10,4,cloudy,24
23,1,rainy,12
22,3,cloudy,17
8,6,rainy,30
22,4,rainy,20
2,3,sunny,14
18,3,sunny,24
7,1,sunny,27
4,5,rainy,18
3,2,cloudy,11
23,1,sunny,27
5,4,cloudy,19
1,5,sunny,23
19,4,sunny,38
10,5,rainy,23
3,6,sunny,22
14,4,sunny,20
5,1,rainy,14
21,5,cloudy,32
16,5,sunny,24
23,3,rainy,7
5,3,sunny,10
18,0,rainy,32
1,4,cloudy,16
14,3,cloudy,23
10,0,rainy,15
7,6,rainy,27
18,6,rainy,28
12,3,cloudy,27
11,4,sunny,12
4,5,cloudy,23
5,2,rainy,19
21,4,rainy,8
3,1,cloudy,26
18,6,rainy,34
19,3,cloudy,31
0,3,rainy,12
19,5,sunny,27
16,1,sunny,23
11,5,rainy,33
14,1,cloudy,20
0,2,sunny,10
13,6,cloudy,27
5,3,rainy,19
4,3,cloudy,15
10,2,sunny,16
3,0,cloudy,16
12,6,cloudy,22
10,5,rainy,19
2,2,rainy,10
0,5,rainy,13
5,4,sunny,20
17,3,sunny,29
23,5,rainy,17
9,1,rainy,25
4,5,sunny,17
22,4,sunny,21
9,6,sunny,32
11,3,sunny,21
1,2,rainy,16
12,4,sunny,25
7,3,rainy,25
1,5,cloudy,30
19,6,cloudy,33
0,0,sunny,18
4,6,cloudy,24
8,0,cloudy,33
16,1,cloudy,23
8,6,sunny,35
10,3,sunny,13
14,0,cloudy,23
23,2,rainy,10
5,3,cloudy,15
22,2,sunny,14
2,6,sunny,24
16,2,sunny,26
4,0,cloudy,15
11,3,rainy,23
17,5,sunny,39
13,4,sunny,12
20,0,cloudy,18
23,0,rainy,9
10,5,cloudy,28
8,3,sunny,25
1,3,rainy,6
11,6,rainy,18
2,2,sunny,25
2,6,rainy,19
0,5,rainy,21
7,6,cloudy,37
21,5,sunny,17
7,3,sunny,25
10,2,sunny,20
8,6,sunny,32
4,0,sunny,28
13,1,rainy,8
2,4,cloudy,15
20,0,sunny,21
4,3,cloudy,16
4,4,cloudy,5
18,1,rainy,34
13,1,sunny,14
3,2,rainy,17
12,4,sunny,13
9,2,rainy,20
17,0,cloudy,21
7,5,sunny,31
7,5,cloudy,31
6,5,cloudy,24
7,4,rainy,23
13,5,sunny,17
18,0,cloudy,27
5,2,rainy,22
0,4,sunny,26
22,2,sunny,22
14,4,cloudy,23
0,2,sunny,30
16,1,cloudy,22
0,2,sunny,23
14,5,rainy,12
22,1,cloudy,14
1,2,cloudy,19
13,4,sunny,15
20,4,sunny,15
7,4,cloudy,25
7,3,sunny,22
18,0,rainy,21
6,4,sunny,21
18,1,rainy,33
5,4,rainy,18
5,3,rainy,18
2,5,rainy,11
6,1,rainy,15
18,3,sunny,29
7,5,rainy,31
9,6,sunny,33
19,6,rainy,38
14,1,cloudy,20
14,2,rainy,15
0,0,cloudy,10
19,0,rainy,24
6,3,rainy,20
3,5,rainy,22
5,0,cloudy,9
0,5,cloudy,22
4,5,rainy,28
22,3,sunny,19
0,3,rainy,16
3,3,cloudy,28
21,0,rainy,14
1,6,cloudy,28
9,3,cloudy,32
4,0,cloudy,23
9,3,rainy,26
0,4,cloudy,17
21,5,cloudy,22
5,3,rainy,10
12,1,cloudy,11
14,5,rainy,26
3,5,cloudy,25
12,3,sunny,25
23,6,sunny,32
19,2,cloudy,30
23,6,sunny,18
14,3,rainy,14
7,5,sunny,31
4,1,cloudy,10
14,5,cloudy,22
3,6,rainy,19
11,1,cloudy,16
12,0,rainy,11
1,4,sunny,13
18,5,sunny,35
18,3,rainy,34
3,0,rainy,21
3,4,cloudy,23
10,3,sunny,23
4,2,rainy,14
19,3,sunny,20
10,1,rainy,13
9,1,sunny,25
7,2,cloudy,30
5,0,sunny,26
5,4,sunny,29
7,3,sunny,30
22,1,sunny,11
14,0,sunny,20
13,2,cloudy,20
10,6,rainy,23
11,5,sunny,24
12,6,cloudy,25
7,6,sunny,31
17,1,sunny,28
0,2,rainy,17
14,3,sunny,9
7,6,cloudy,33
10,6,cloudy,28
11,4,rainy,23
11,1,sunny,18
3,1,cloudy,25
15,3,sunny,28
3,5,sunny,23
4,0,sunny,17
23,4,rainy,14
4,1,sunny,19
7,4,cloudy,35
9,1,sunny,26
16,4,cloudy,27
8,2,sunny,25
21,6,cloudy,18
18,1,cloudy,32
13,4,sunny,26
7,0,sunny,30
8,2,cloudy,32
21,2,rainy,24
10,0,sunny,26
22,4,rainy,15
0,3,sunny,17
13,0,sunny,25
4,4,sunny,24
20,0,sunny,22
13,0,rainy,13
3,1,sunny,19
21,4,cloudy,19
22,3,cloudy,18
0,6,rainy,16
21,1,sunny,21
22,0,cloudy,16
18,6,rainy,30
7,5,sunny,24
14,6,cloudy,22
20,0,cloudy,25
14,0,rainy,10
8,4,sunny,32
20,4,sunny,15
8,1,cloudy,33
9,3,cloudy,28
19,1,cloudy,28
20,2,sunny,20
8,0,rainy,18
2,6,rainy,24
19,5,sunny,41
10,0,rainy,13
5,0,cloudy,22
1,1,rainy,18
6,5,rainy,19
17,5,rainy,24
1,5,cloudy,32
16,1,sunny,18
10,0,cloudy,16
11,1,sunny,28
18,4,sunny,33
21,4,sunny,21
23,1,rainy,10
6,5,rainy,24
19,0,sunny,44
5,1,sunny,24
20,1,rainy,17
23,1,cloudy,23
0,2,sunny,18
16,4,cloudy,18
10,6,rainy,18
21,5,sunny,22
17,3,cloudy,28
20,6,cloudy,23
16,5,cloudy,23
6,3,rainy,13
16,2,rainy,16
19,1,cloudy,30
8,2,cloudy,30
16,2,rainy,22
19,6,cloudy,35
21,0,cloudy,31
21,6,rainy,21
7,4,cloudy,27
16,3,cloudy,26
6,1,cloudy,19
0,6,rainy,8
12,3,cloudy,19
22,5,rainy,18
18,3,rainy,33
23,5,sunny,20
18,6,sunny,33
16,4,cloudy,26
12,6,rainy,21
15,5,sunny,24
7,3,cloudy,26
18,3,sunny,31
17,5,sunny,34
0,2,rainy,11
13,4,rainy,11
18,0,sunny,25
14,1,sunny,15
17,3,rainy,29
1,1,cloudy,23
21,0,rainy,19
16,6,sunny,25
17,1,cloudy,28
5,0,sunny,18
18,5,cloudy,40
3,2,sunny,10
0,3,cloudy,17
7,0,cloudy,25
22,1,sunny,26
6,3,cloudy,17
2,2,rainy,6
9,5,sunny,36
9,6,rainy,28
18,3,sunny,27
13,6,cloudy,21
1,0,cloudy,16
0,2,cloudy,23
22,1,sunny,21
22,2,rainy,14
17,2,rainy,19
6,4,sunny,19
7,2,sunny,31
0,2,rainy,16
22,3,rainy,15
2,1,rainy,10
23,3,rainy,2
22,3,sunny,28
7,0,sunny,23
21,3,cloudy,10
14,4,rainy,15
4,4,cloudy,11
2,6,sunny,20
18,0,sunny,32
0,6,cloudy,33
14,6,rainy,21
7,5,rainy,27
1,1,rainy,14
2,1,rainy,5
23,3,cloudy,17
13,3,cloudy,17
23,5,sunny,25
13,3,rainy,24
10,1,rainy,5
15,6,rainy,17
3,2,cloudy,10
19,4,rainy,22
4,2,cloudy,15
21,2,rainy,7
20,1,rainy,19
13,2,sunny,21
22,5,rainy,23
15,0,rainy,12
17,3,sunny,29
6,0,cloudy,27
9,6,cloudy,34
6,4,rainy,19
0,3,cloudy,16
22,2,rainy,18
20,4,sunny,17
18,3,sunny,20
15,5,rainy,19
18,5,sunny,32
3,5,sunny,16
17,5,rainy,30
1,2,rainy,10
0,0,sunny,35
14,3,cloudy,12
4,2,cloudy,13
19,5,rainy,34
10,6,rainy,19
9,0,cloudy,34
1,6,sunny,26
2,4,cloudy,17
22,6,cloudy,18
22,4,cloudy,25
11,4,cloudy,13
19,5,rainy,32
4,4,rainy,19
4,1,sunny,19
5,3,sunny,18
8,3,sunny,25
1,5,sunny,27
20,1,cloudy,4
11,6,rainy,23
2,2,rainy,15
19,6,sunny,33
21,2,sunny,21
11,4,cloudy,13
23,0,cloudy,7
16,2,sunny,22
9,0,rainy,31
23,3,rainy,6
13,0,rainy,9
22,3,sunny,23
16,1,rainy,16
17,1,cloudy,44
